"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Trafford","E08000009","Upper tier local authority","2020-04-09",16,349
"Dorset","E06000059","Upper tier local authority","2020-04-09",17,190
"Medway","E06000035","Upper tier local authority","2020-04-09",20,360
"Leeds","E08000035","Upper tier local authority","2020-04-09",42,588
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-09",28,399
"Darlington","E06000005","Upper tier local authority","2020-04-09",14,121
"East of England","E12000006","Region","2020-04-09",319,5681
"Lambeth","E09000022","Upper tier local authority","2020-04-09",30,869
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-09",15,310
"Bedford","E06000055","Upper tier local authority","2020-04-09",23,218
"Essex","E10000012","Upper tier local authority","2020-04-09",63,1483
"Bury","E08000002","Upper tier local authority","2020-04-09",11,220
"Newham","E09000025","Upper tier local authority","2020-04-09",33,718
"North West","E12000002","Region","2020-04-09",697,10118
"Croydon","E09000008","Upper tier local authority","2020-04-09",43,964
"Portsmouth","E06000044","Upper tier local authority","2020-04-09",10,161
"Camden","E09000007","Upper tier local authority","2020-04-09",17,421
"Oxfordshire","E10000025","Upper tier local authority","2020-04-09",60,845
"Bolton","E08000001","Upper tier local authority","2020-04-09",38,349
"Lancashire","E10000017","Upper tier local authority","2020-04-09",103,1467
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-09",3,107
"Ealing","E09000009","Upper tier local authority","2020-04-09",30,698
"Hampshire","E10000014","Upper tier local authority","2020-04-09",73,1548
"England","E92000001","Country","2020-04-09",3922,67930
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-09",30,400
"West Midlands","E12000005","Region","2020-04-09",362,7155
"Bexley","E09000004","Upper tier local authority","2020-04-09",16,409
"South East","E12000008","Region","2020-04-09",516,9059
"Worcestershire","E10000034","Upper tier local authority","2020-04-09",39,621
"Northamptonshire","E10000021","Upper tier local authority","2020-04-09",33,682
"Suffolk","E10000029","Upper tier local authority","2020-04-09",27,442
"Telford and Wrekin","E06000020","Upper tier local authority","2020-04-09",2,124
"Redbridge","E09000026","Upper tier local authority","2020-04-09",30,490
"South West","E12000009","Region","2020-04-09",245,3142
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-09",18,275
"Wokingham","E06000041","Upper tier local authority","2020-04-09",5,160
"Nottingham","E06000018","Upper tier local authority","2020-04-09",12,282
"Brent","E09000005","Upper tier local authority","2020-04-09",28,980
"Warrington","E06000007","Upper tier local authority","2020-04-09",21,305
"Greenwich","E09000011","Upper tier local authority","2020-04-09",18,453
"Cheshire East","E06000049","Upper tier local authority","2020-04-09",37,377
"North Somerset","E06000024","Upper tier local authority","2020-04-09",11,113
"Barnsley","E08000016","Upper tier local authority","2020-04-09",19,311
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-09",10,146
"Sutton","E09000029","Upper tier local authority","2020-04-09",22,418
"Milton Keynes","E06000042","Upper tier local authority","2020-04-09",13,280
"Isle of Wight","E06000046","Upper tier local authority","2020-04-09",2,46
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-09",17,204
"Hackney","E09000012","Upper tier local authority","2020-04-09",16,475
"Tameside","E08000008","Upper tier local authority","2020-04-09",14,268
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-09",9,272
"Lewisham","E09000023","Upper tier local authority","2020-04-09",32,676
"Wirral","E08000015","Upper tier local authority","2020-04-09",40,522
"Gateshead","E08000037","Upper tier local authority","2020-04-09",36,394
"Doncaster","E08000017","Upper tier local authority","2020-04-09",25,226
"Sheffield","E08000019","Upper tier local authority","2020-04-09",53,1249
"Cumbria","E10000006","Upper tier local authority","2020-04-09",69,1198
"Tower Hamlets","E09000030","Upper tier local authority","2020-04-09",15,463
"Kingston upon Thames","E09000021","Upper tier local authority","2020-04-09",19,287
"Swindon","E06000030","Upper tier local authority","2020-04-09",19,155
"Waltham Forest","E09000031","Upper tier local authority","2020-04-09",25,512
"Coventry","E08000026","Upper tier local authority","2020-04-09",25,388
"Rotherham","E08000018","Upper tier local authority","2020-04-09",20,329
"Wiltshire","E06000054","Upper tier local authority","2020-04-09",17,231
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-09",16,271
"York","E06000014","Upper tier local authority","2020-04-09",9,120
"Warwickshire","E10000031","Upper tier local authority","2020-04-09",40,631
"Norfolk","E10000020","Upper tier local authority","2020-04-09",53,595
"Sefton","E08000014","Upper tier local authority","2020-04-09",33,460
"London","E12000007","Region","2020-04-09",770,17682
"Stockport","E08000007","Upper tier local authority","2020-04-09",35,436
"Northumberland","E06000057","Upper tier local authority","2020-04-09",36,358
"Somerset","E10000027","Upper tier local authority","2020-04-09",13,189
"Devon","E10000008","Upper tier local authority","2020-04-09",21,344
"Hillingdon","E09000017","Upper tier local authority","2020-04-09",32,491
"Havering","E09000016","Upper tier local authority","2020-04-09",25,419
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-09",13,105
"Derby","E06000015","Upper tier local authority","2020-04-09",11,341
"Oldham","E08000004","Upper tier local authority","2020-04-09",11,307
"Dudley","E08000027","Upper tier local authority","2020-04-09",13,415
"St. Helens","E08000013","Upper tier local authority","2020-04-09",21,366
"Wakefield","E08000036","Upper tier local authority","2020-04-09",13,295
"Kingston upon Thames","E09000021","Upper tier local authority","2020-04-10",10,297
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-10",25,424
"Salford","E08000006","Upper tier local authority","2020-04-10",22,352
"Staffordshire","E10000028","Upper tier local authority","2020-04-10",60,915
"Liverpool","E08000012","Upper tier local authority","2020-04-10",34,895
"Hackney","E09000012","Upper tier local authority","2020-04-10",14,489
"York","E06000014","Upper tier local authority","2020-04-10",6,126
"Devon","E10000008","Upper tier local authority","2020-04-10",28,372
"Northumberland","E06000057","Upper tier local authority","2020-04-10",24,382
"Brighton and Hove","E06000043","Upper tier local authority","2020-04-10",11,222
"Doncaster","E08000017","Upper tier local authority","2020-04-10",4,230
"Westminster","E09000033","Upper tier local authority","2020-04-10",9,488
"Barnsley","E08000016","Upper tier local authority","2020-04-10",25,336
"Brent","E09000005","Upper tier local authority","2020-04-10",40,1020
"Nottingham","E06000018","Upper tier local authority","2020-04-10",13,295
"Sutton","E09000029","Upper tier local authority","2020-04-10",14,432
"Luton","E06000032","Upper tier local authority","2020-04-10",22,381
"St. Helens","E08000013","Upper tier local authority","2020-04-10",11,377
"Hounslow","E09000018","Upper tier local authority","2020-04-10",16,484
"Northamptonshire","E10000021","Upper tier local authority","2020-04-10",27,709
"Islington","E09000019","Upper tier local authority","2020-04-10",4,328
"Cheshire East","E06000049","Upper tier local authority","2020-04-10",28,405
"Trafford","E08000009","Upper tier local authority","2020-04-10",22,371
"Dorset","E06000059","Upper tier local authority","2020-04-10",12,202
"Rutland","E06000017","Upper tier local authority","2020-04-10",1,10
"England","E92000001","Country","2020-04-10",3473,71403
"South East","E12000008","Region","2020-04-10",568,9627
"North West","E12000002","Region","2020-04-10",547,10665
"Derbyshire","E10000007","Upper tier local authority","2020-04-10",26,736
"Walsall","E08000030","Upper tier local authority","2020-04-10",21,565
"Sandwell","E08000028","Upper tier local authority","2020-04-10",36,566
"Hillingdon","E09000017","Upper tier local authority","2020-04-10",20,511
"Stockport","E08000007","Upper tier local authority","2020-04-10",33,469
"Nottinghamshire","E10000024","Upper tier local authority","2020-04-10",18,664
"Greenwich","E09000011","Upper tier local authority","2020-04-10",14,467
"Swindon","E06000030","Upper tier local authority","2020-04-10",14,169
"North Yorkshire","E10000023","Upper tier local authority","2020-04-10",24,457
"Southwark","E09000028","Upper tier local authority","2020-04-10",30,949
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-10",11,370
"Bristol, City of","E06000023","Upper tier local authority","2020-04-10",18,324
"Lincolnshire","E10000019","Upper tier local authority","2020-04-10",29,454
"Barnet","E09000003","Upper tier local authority","2020-04-10",21,954
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-10",16,124
"Rotherham","E08000018","Upper tier local authority","2020-04-10",22,351
"Worcestershire","E10000034","Upper tier local authority","2020-04-10",31,652
"Halton","E06000006","Upper tier local authority","2020-04-10",12,200
"Bradford","E08000032","Upper tier local authority","2020-04-10",18,414
"Blackpool","E06000009","Upper tier local authority","2020-04-10",16,148
"North Tyneside","E08000022","Upper tier local authority","2020-04-10",8,298
"Dudley","E08000027","Upper tier local authority","2020-04-10",28,443
"Oldham","E08000004","Upper tier local authority","2020-04-10",27,334
"Manchester","E08000003","Upper tier local authority","2020-04-10",32,646
"Southend-on-Sea","E06000033","Upper tier local authority","2020-04-10",10,216
"Hertfordshire","E10000015","Upper tier local authority","2020-04-10",77,1492
"Kent","E10000016","Upper tier local authority","2020-04-10",126,1667
"Wigan","E08000010","Upper tier local authority","2020-04-10",17,299
"Tower Hamlets","E09000030","Upper tier local authority","2020-04-10",15,478
"Derby","E06000015","Upper tier local authority","2020-04-10",12,353
"Sefton","E08000014","Upper tier local authority","2020-04-10",14,474
"East Midlands","E12000004","Region","2020-04-10",173,4115
"Waltham Forest","E09000031","Upper tier local authority","2020-04-10",16,528
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-10",18,123
"Bromley","E09000006","Upper tier local authority","2020-04-10",23,757
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-10",12,155
"West Sussex","E10000032","Upper tier local authority","2020-04-10",26,634
"Surrey","E10000030","Upper tier local authority","2020-04-10",82,1548
"North Somerset","E06000024","Upper tier local authority","2020-04-10",4,117
"Ealing","E09000009","Upper tier local authority","2020-04-10",45,743
"Oxfordshire","E10000025","Upper tier local authority","2020-04-10",70,915
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-10",18,289
"Southampton","E06000045","Upper tier local authority","2020-04-10",9,258
"Wolverhampton","E08000031","Upper tier local authority","2020-04-10",25,450
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-10",6,200
"Rochdale","E08000005","Upper tier local authority","2020-04-10",13,269
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-10",10,320
"Bedford","E06000055","Upper tier local authority","2020-04-10",17,235
"Darlington","E06000005","Upper tier local authority","2020-04-10",4,125
"Gloucestershire","E10000013","Upper tier local authority","2020-04-10",63,662
"Herefordshire, County of","E06000019","Upper tier local authority","2020-04-10",6,102
"Wakefield","E08000036","Upper tier local authority","2020-04-10",14,309
"Medway","E06000035","Upper tier local authority","2020-04-10",23,383
"North Lincolnshire","E06000013","Upper tier local authority","2020-04-10",3,105
"Wandsworth","E09000032","Upper tier local authority","2020-04-10",30,741
"Lewisham","E09000023","Upper tier local authority","2020-04-10",8,684
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-10",26,499
"Peterborough","E06000031","Upper tier local authority","2020-04-10",4,109
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-10",16,387
"South Tyneside","E08000023","Upper tier local authority","2020-04-10",18,217
"South West","E12000009","Region","2020-04-10",234,3376
"Havering","E09000016","Upper tier local authority","2020-04-10",26,445
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-10",12,287
"Kirklees","E08000034","Upper tier local authority","2020-04-10",12,322
"Torbay","E06000027","Upper tier local authority","2020-04-10",5,98
"North East Lincolnshire","E06000012","Upper tier local authority","2020-04-10",4,73
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-10",24,189
"Leicestershire","E10000018","Upper tier local authority","2020-04-10",27,523
"Cumbria","E10000006","Upper tier local authority","2020-04-10",34,1232
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-04-10",22,221
"Wiltshire","E06000054","Upper tier local authority","2020-04-10",5,236
"Sheffield","E08000019","Upper tier local authority","2020-04-10",57,1306
"Plymouth","E06000026","Upper tier local authority","2020-04-10",13,142
"South Gloucestershire","E06000025","Upper tier local authority","2020-04-10",6,212
"Tameside","E08000008","Upper tier local authority","2020-04-10",10,278
"Wokingham","E06000041","Upper tier local authority","2020-04-10",16,176
"Knowsley","E08000011","Upper tier local authority","2020-04-10",12,301
"Hampshire","E10000014","Upper tier local authority","2020-04-10",83,1631
"Norfolk","E10000020","Upper tier local authority","2020-04-10",48,643
"East of England","E12000006","Region","2020-04-10",314,5995
"Bury","E08000002","Upper tier local authority","2020-04-10",16,236
"Warrington","E06000007","Upper tier local authority","2020-04-10",28,333
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-10",8,280
"Bexley","E09000004","Upper tier local authority","2020-04-10",14,423
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-10",4,111
"Gateshead","E08000037","Upper tier local authority","2020-04-10",33,427
"Bolton","E08000001","Upper tier local authority","2020-04-10",28,377
"Merton","E09000024","Upper tier local authority","2020-04-10",12,491
"Somerset","E10000027","Upper tier local authority","2020-04-10",16,205
"Portsmouth","E06000044","Upper tier local authority","2020-04-10",9,170
"Isle of Wight","E06000046","Upper tier local authority","2020-04-10",5,51
"Hartlepool","E06000001","Upper tier local authority","2020-04-10",4,78
"Camden","E09000007","Upper tier local authority","2020-04-10",10,431
"Wirral","E08000015","Upper tier local authority","2020-04-10",30,552
"Lambeth","E09000022","Upper tier local authority","2020-04-10",16,885
"County Durham","E06000047","Upper tier local authority","2020-04-10",56,646
"Suffolk","E10000029","Upper tier local authority","2020-04-10",33,475
"Croydon","E09000008","Upper tier local authority","2020-04-10",25,989
"Newham","E09000025","Upper tier local authority","2020-04-10",24,742
"East Sussex","E10000011","Upper tier local authority","2020-04-10",18,337
"North East","E12000001","Region","2020-04-10",245,4004
"Calderdale","E08000033","Upper tier local authority","2020-04-10",11,139
"Thurrock","E06000034","Upper tier local authority","2020-04-10",4,191
"Leicester","E06000016","Upper tier local authority","2020-04-10",20,371
"Yorkshire and The Humber","E12000003","Region","2020-04-10",287,5147
"Shropshire","E06000051","Upper tier local authority","2020-04-10",6,238
"Solihull","E08000029","Upper tier local authority","2020-04-10",23,348
"Reading","E06000038","Upper tier local authority","2020-04-10",14,193
"Harrow","E09000015","Upper tier local authority","2020-04-10",27,657
"Lancashire","E10000017","Upper tier local authority","2020-04-10",71,1538
"Birmingham","E08000025","Upper tier local authority","2020-04-10",65,1869
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-10",29,570
"Enfield","E09000010","Upper tier local authority","2020-04-10",25,551
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-10",9,158
"Warwickshire","E10000031","Upper tier local authority","2020-04-10",30,661
"West Berkshire","E06000037","Upper tier local authority","2020-04-10",13,157
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-10",22,226
"London","E12000007","Region","2020-04-10",575,18257
"Coventry","E08000026","Upper tier local authority","2020-04-10",15,403
"Sunderland","E08000024","Upper tier local authority","2020-04-10",37,630
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-10",2,148
"Slough","E06000039","Upper tier local authority","2020-04-10",14,230
"Milton Keynes","E06000042","Upper tier local authority","2020-04-10",17,297
"Redbridge","E09000026","Upper tier local authority","2020-04-10",11,501
"Middlesbrough","E06000002","Upper tier local authority","2020-04-10",17,273
"Haringey","E09000014","Upper tier local authority","2020-04-10",11,422
"Leeds","E08000035","Upper tier local authority","2020-04-10",47,635
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-10",24,424
"Telford and Wrekin","E06000020","Upper tier local authority","2020-04-10",7,131
"Essex","E10000012","Upper tier local authority","2020-04-10",57,1540
"West Midlands","E12000005","Region","2020-04-10",377,7532
"Lincolnshire","E10000019","Upper tier local authority","2020-04-11",23,477
"Worcestershire","E10000034","Upper tier local authority","2020-04-11",37,689
"North Lincolnshire","E06000013","Upper tier local authority","2020-04-11",16,121
"Northamptonshire","E10000021","Upper tier local authority","2020-04-11",33,742
"Kingston upon Thames","E09000021","Upper tier local authority","2020-04-11",4,301
"Medway","E06000035","Upper tier local authority","2020-04-11",18,401
"Lewisham","E09000023","Upper tier local authority","2020-04-11",14,698
"Staffordshire","E10000028","Upper tier local authority","2020-04-11",39,954
"Wandsworth","E09000032","Upper tier local authority","2020-04-11",14,755
"Barnet","E09000003","Upper tier local authority","2020-04-11",20,974
"Liverpool","E08000012","Upper tier local authority","2020-04-11",40,935
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-11",19,518
"Wakefield","E08000036","Upper tier local authority","2020-04-11",8,317
"Peterborough","E06000031","Upper tier local authority","2020-04-11",2,111
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-11",10,134
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-11",4,391
"South Tyneside","E08000023","Upper tier local authority","2020-04-11",12,229
"Rotherham","E08000018","Upper tier local authority","2020-04-11",10,361
"Bristol, City of","E06000023","Upper tier local authority","2020-04-11",26,350
"Havering","E09000016","Upper tier local authority","2020-04-11",18,463
"Islington","E09000019","Upper tier local authority","2020-04-11",3,331
"Cheshire East","E06000049","Upper tier local authority","2020-04-11",29,434
"Doncaster","E08000017","Upper tier local authority","2020-04-11",8,238
"Kirklees","E08000034","Upper tier local authority","2020-04-11",15,337
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-11",13,300
"Torbay","E06000027","Upper tier local authority","2020-04-11",1,99
"Bradford","E08000032","Upper tier local authority","2020-04-11",17,431
"South West","E12000009","Region","2020-04-11",173,3549
"North East Lincolnshire","E06000012","Upper tier local authority","2020-04-11",5,78
"Halton","E06000006","Upper tier local authority","2020-04-11",11,211
"Leicestershire","E10000018","Upper tier local authority","2020-04-11",23,546
"Derby","E06000015","Upper tier local authority","2020-04-11",13,366
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-11",11,200
"Trafford","E08000009","Upper tier local authority","2020-04-11",14,385
"Cumbria","E10000006","Upper tier local authority","2020-04-11",25,1257
"Sutton","E09000029","Upper tier local authority","2020-04-11",20,452
"Blackpool","E06000009","Upper tier local authority","2020-04-11",15,163
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-04-11",6,227
"North Tyneside","E08000022","Upper tier local authority","2020-04-11",16,314
"Wiltshire","E06000054","Upper tier local authority","2020-04-11",16,252
"Brighton and Hove","E06000043","Upper tier local authority","2020-04-11",8,230
"Dorset","E06000059","Upper tier local authority","2020-04-11",3,205
"Plymouth","E06000026","Upper tier local authority","2020-04-11",1,143
"Sheffield","E08000019","Upper tier local authority","2020-04-11",52,1358
"South Gloucestershire","E06000025","Upper tier local authority","2020-04-11",6,218
"Westminster","E09000033","Upper tier local authority","2020-04-11",11,499
"Oldham","E08000004","Upper tier local authority","2020-04-11",23,357
"Wokingham","E06000041","Upper tier local authority","2020-04-11",3,179
"North West","E12000002","Region","2020-04-11",540,11205
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-11",9,120
"Manchester","E08000003","Upper tier local authority","2020-04-11",41,687
"Knowsley","E08000011","Upper tier local authority","2020-04-11",16,317
"Tameside","E08000008","Upper tier local authority","2020-04-11",7,285
"Southend-on-Sea","E06000033","Upper tier local authority","2020-04-11",4,220
"Norfolk","E10000020","Upper tier local authority","2020-04-11",52,695
"Hartlepool","E06000001","Upper tier local authority","2020-04-11",4,82
"Hampshire","E10000014","Upper tier local authority","2020-04-11",52,1683
"Hertfordshire","E10000015","Upper tier local authority","2020-04-11",55,1547
"England","E92000001","Country","2020-04-11",2935,74338
"Bury","E08000002","Upper tier local authority","2020-04-11",18,254
"Barnsley","E08000016","Upper tier local authority","2020-04-11",24,360
"Warrington","E06000007","Upper tier local authority","2020-04-11",17,350
"Richmond upon Thames","E09000027","Upper tier local authority","2020-04-11",6,286
"Kent","E10000016","Upper tier local authority","2020-04-11",59,1726
"York","E06000014","Upper tier local authority","2020-04-11",3,129
"Bexley","E09000004","Upper tier local authority","2020-04-11",13,436
"Gateshead","E08000037","Upper tier local authority","2020-04-11",26,453
"Wigan","E08000010","Upper tier local authority","2020-04-11",26,325
"East of England","E12000006","Region","2020-04-11",261,6256
"Tower Hamlets","E09000030","Upper tier local authority","2020-04-11",13,491
"Derbyshire","E10000007","Upper tier local authority","2020-04-11",23,759
"Brent","E09000005","Upper tier local authority","2020-04-11",22,1042
"Somerset","E10000027","Upper tier local authority","2020-04-11",18,223
"Dudley","E08000027","Upper tier local authority","2020-04-11",20,463
"Merton","E09000024","Upper tier local authority","2020-04-11",18,509
"Isle of Wight","E06000046","Upper tier local authority","2020-04-11",2,53
"Portsmouth","E06000044","Upper tier local authority","2020-04-11",13,183
"Bolton","E08000001","Upper tier local authority","2020-04-11",30,407
"Camden","E09000007","Upper tier local authority","2020-04-11",9,440
"Walsall","E08000030","Upper tier local authority","2020-04-11",9,574
"East Midlands","E12000004","Region","2020-04-11",167,4282
"Sefton","E08000014","Upper tier local authority","2020-04-11",27,501
"Wirral","E08000015","Upper tier local authority","2020-04-11",35,587
"Hackney","E09000012","Upper tier local authority","2020-04-11",15,504
"Waltham Forest","E09000031","Upper tier local authority","2020-04-11",15,543
"Lambeth","E09000022","Upper tier local authority","2020-04-11",45,930
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-11",10,165
"County Durham","E06000047","Upper tier local authority","2020-04-11",51,697
"Sandwell","E08000028","Upper tier local authority","2020-04-11",12,578
"North East","E12000001","Region","2020-04-11",266,4270
"Croydon","E09000008","Upper tier local authority","2020-04-11",22,1011
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-11",14,137
"Newham","E09000025","Upper tier local authority","2020-04-11",28,770
"Hillingdon","E09000017","Upper tier local authority","2020-04-11",17,528
"Bromley","E09000006","Upper tier local authority","2020-04-11",23,780
"East Sussex","E10000011","Upper tier local authority","2020-04-11",12,349
"Nottingham","E06000018","Upper tier local authority","2020-04-11",12,307
"Leicester","E06000016","Upper tier local authority","2020-04-11",17,388
"West Sussex","E10000032","Upper tier local authority","2020-04-11",27,661
"Suffolk","E10000029","Upper tier local authority","2020-04-11",27,502
"Thurrock","E06000034","Upper tier local authority","2020-04-11",8,199
"Devon","E10000008","Upper tier local authority","2020-04-11",16,388
"Surrey","E10000030","Upper tier local authority","2020-04-11",65,1613
"Yorkshire and The Humber","E12000003","Region","2020-04-11",240,5387
"Stockport","E08000007","Upper tier local authority","2020-04-11",26,495
"North Somerset","E06000024","Upper tier local authority","2020-04-11",7,124
"Solihull","E08000029","Upper tier local authority","2020-04-11",12,360
"Salford","E08000006","Upper tier local authority","2020-04-11",10,362
"Harrow","E09000015","Upper tier local authority","2020-04-11",16,673
"Southampton","E06000045","Upper tier local authority","2020-04-11",7,265
"Reading","E06000038","Upper tier local authority","2020-04-11",9,202
"Shropshire","E06000051","Upper tier local authority","2020-04-11",8,246
"Nottinghamshire","E10000024","Upper tier local authority","2020-04-11",23,687
"Ealing","E09000009","Upper tier local authority","2020-04-11",26,769
"Lancashire","E10000017","Upper tier local authority","2020-04-11",90,1628
"Birmingham","E08000025","Upper tier local authority","2020-04-11",31,1900
"Central Bedfordshire","E06000056","Upper tier local authority","2020-04-11",13,302
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-11",20,590
"South East","E12000008","Region","2020-04-11",378,10005
"Oxfordshire","E10000025","Upper tier local authority","2020-04-11",31,946
"Enfield","E09000010","Upper tier local authority","2020-04-11",21,572
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-11",16,174
"Calderdale","E08000033","Upper tier local authority","2020-04-11",3,142
"Greenwich","E09000011","Upper tier local authority","2020-04-11",11,478
"St. Helens","E08000013","Upper tier local authority","2020-04-11",10,387
"Warwickshire","E10000031","Upper tier local authority","2020-04-11",34,695
"West Berkshire","E06000037","Upper tier local authority","2020-04-11",9,166
"Wolverhampton","E08000031","Upper tier local authority","2020-04-11",10,460
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-11",7,233
"Southwark","E09000028","Upper tier local authority","2020-04-11",27,976
"Rochdale","E08000005","Upper tier local authority","2020-04-11",5,274
"Sunderland","E08000024","Upper tier local authority","2020-04-11",47,677
"Coventry","E08000026","Upper tier local authority","2020-04-11",15,418
"Herefordshire, County of","E06000019","Upper tier local authority","2020-04-11",6,108
"London","E12000007","Region","2020-04-11",492,18749
"Northumberland","E06000057","Upper tier local authority","2020-04-11",39,421
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-11",11,211
"Slough","E06000039","Upper tier local authority","2020-04-11",12,242
"North Yorkshire","E10000023","Upper tier local authority","2020-04-11",24,481
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-11",9,157
"Milton Keynes","E06000042","Upper tier local authority","2020-04-11",14,311
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-11",4,324
"Luton","E06000032","Upper tier local authority","2020-04-11",16,397
"Redbridge","E09000026","Upper tier local authority","2020-04-11",11,512
"Hounslow","E09000018","Upper tier local authority","2020-04-11",9,493
"Middlesbrough","E06000002","Upper tier local authority","2020-04-11",15,288
"Haringey","E09000014","Upper tier local authority","2020-04-11",9,431
"Bedford","E06000055","Upper tier local authority","2020-04-11",9,244
"Gloucestershire","E10000013","Upper tier local authority","2020-04-11",32,694
"Leeds","E08000035","Upper tier local authority","2020-04-11",35,670
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-11",14,438
"Darlington","E06000005","Upper tier local authority","2020-04-11",9,134
"Essex","E10000012","Upper tier local authority","2020-04-11",61,1601
"Telford and Wrekin","E06000020","Upper tier local authority","2020-04-11",2,133
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-11",15,439
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-11",4,374
"West Midlands","E12000005","Region","2020-04-11",246,7778
"Swindon","E06000030","Upper tier local authority","2020-04-11",17,186
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-12",10,221
"West Midlands","E12000005","Region","2020-04-12",247,8025
"Essex","E10000012","Upper tier local authority","2020-04-12",46,1647
"Leeds","E08000035","Upper tier local authority","2020-04-12",38,708
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-12",13,451
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-04-12",6,163
"Middlesbrough","E06000002","Upper tier local authority","2020-04-12",14,302
"Haringey","E09000014","Upper tier local authority","2020-04-12",12,443
"Redbridge","E09000026","Upper tier local authority","2020-04-12",24,536
"Milton Keynes","E06000042","Upper tier local authority","2020-04-12",6,317
"Slough","E06000039","Upper tier local authority","2020-04-12",9,251
"London","E12000007","Region","2020-04-12",413,19162
"Coventry","E08000026","Upper tier local authority","2020-04-12",21,439
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-12",22,255
"Warwickshire","E10000031","Upper tier local authority","2020-04-12",22,717
"Calderdale","E08000033","Upper tier local authority","2020-04-12",8,150
"Enfield","E09000010","Upper tier local authority","2020-04-12",22,594
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-12",8,182
"Sunderland","E08000024","Upper tier local authority","2020-04-12",29,706
"Shropshire","E06000051","Upper tier local authority","2020-04-12",16,262
"West Berkshire","E06000037","Upper tier local authority","2020-04-12",7,173
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-12",17,607
"Lancashire","E10000017","Upper tier local authority","2020-04-12",61,1689
"Birmingham","E08000025","Upper tier local authority","2020-04-12",50,1950
"Reading","E06000038","Upper tier local authority","2020-04-12",25,227
"Solihull","E08000029","Upper tier local authority","2020-04-12",7,367
"Suffolk","E10000029","Upper tier local authority","2020-04-12",27,529
"Harrow","E09000015","Upper tier local authority","2020-04-12",13,686
"Leicester","E06000016","Upper tier local authority","2020-04-12",22,410
"East Sussex","E10000011","Upper tier local authority","2020-04-12",12,361
"Croydon","E09000008","Upper tier local authority","2020-04-12",26,1037
"North East","E12000001","Region","2020-04-12",201,4471
"County Durham","E06000047","Upper tier local authority","2020-04-12",29,726
